day,hour,counts,lat,lon,kind,armed
5,4,1,35.572198160543444,69.46798872902758,women,False
5,7,5,32.83181179668069,68.20931995398607,men,True
1,12,15,36.038649930385134,69.14053988756868,men,False
6,4,2,35.384505826107954,69.15865671651794,men,False
0,18,12,35.77151112630537,67.63917205486082,men,False
2,15,5,33.19272963582008,71.27879487764123,men,True
6,4,2,36.62490873224268,69.61069798930059,women,False
5,5,4,35.87153793609142,71.34016648657366,women,False
0,13,8,33.55886075141177,69.54856427763357,men,True
6,15,20,35.430537323033285,67.3905775311022,men,False
6,4,3,33.80830933194962,67.75667201369733,children,False
1,1,1,33.1274621952954,68.92289656075255,men,True
3,18,4,33.48042501197415,70.46671696066346,men,True
6,5,6,34.2284575724955,67.71320042253936,women,False
2,23,3,33.65384398782798,69.64890729495234,children,False
4,10,14,34.532259270557,67.39126684290385,women,False
5,19,7,35.298627172438046,68.53309640706425,men,False
5,22,1,32.36856301414222,70.50558962670584,men,True
4,3,1,34.62660991689405,68.31446119562614,men,False
4,7,8,34.19399622837783,68.78989074241092,men,False
1,22,1,33.44329460846729,70.24040110326767,men,True
5,9,20,33.58621978585522,66.18726309172852,women,False
1,12,19,35.304532360667196,70.83000808919513,men,False
5,6,4,33.63561840015691,68.47133710645299,men,True
5,1,3,35.97500204955009,69.48277105339349,women,False
3,11,18,34.52690770898009,68.87863301917196,men,False
4,18,3,34.16838124194974,69.32155230842785,men,True
5,6,10,37.04955582282419,67.80437632996674,men,False
5,6,7,34.905193778582614,68.15761926900082,men,False
5,7,13,34.486856339736626,69.5286761068902,children,False
0,5,4,34.1790525571666,70.18665539287883,men,False
4,2,2,35.90736057720172,69.98348167627609,men,False
4,0,4,33.78488556086504,69.15504990759511,children,False
4,6,3,32.495153869046824,69.195882819772,men,True
3,1,1,35.11886870404691,67.93322664810246,children,False
5,13,20,34.703884798715265,69.5445706881425,men,False
0,21,3,33.4613311864757,68.55779785007716,men,True
5,7,11,36.289418734939744,69.42876400894157,women,False
6,13,18,34.93610165240761,66.98210597818988,men,False
5,16,6,33.65402244802465,70.86164399049466,men,True
1,5,3,33.829182344393935,69.94900039065374,men,True
4,6,6,34.23700124386139,70.02429783708682,women,False
5,7,12,35.38760577870324,67.12671441689552,men,False
5,0,1,35.70616327169935,69.0172943170914,children,False
6,18,8,34.628497700781374,70.86250675974487,men,False
4,4,2,32.80145972991864,68.31774182897314,men,True
3,15,18,34.64935069933452,69.26803210271943,men,False
4,12,14,33.12493337149766,67.64819530543905,children,False
5,7,8,35.409700120219675,70.44733405716805,men,False
2,2,2,34.32036132169743,68.99355984408555,men,False
1,3,2,34.3666048100841,69.72152392243845,men,False
4,5,4,33.37812248633026,69.10339250157253,women,False
6,18,6,34.784701934018344,69.72908551228169,men,False
5,7,5,33.89093199198331,67.94483854268556,men,True
5,20,10,33.96387427943698,70.05289022303211,women,False
5,11,20,34.25867459420637,67.34256601758467,men,False
5,3,2,33.585430502411,69.50593889208045,men,True
3,4,3,34.76294111761908,70.77049331805355,children,False
5,22,2,34.48183491278438,68.88030803661246,men,False
6,3,3,34.545293304798356,66.75782074263726,men,False
4,1,1,34.68578313608207,68.45256353096141,men,False
2,20,6,32.11475090721232,69.1477463651644,children,False
5,6,2,33.69822169696907,68.0259559473258,women,False
3,5,1,35.64843728045353,68.44117058475835,men,False
5,22,6,33.59725819107577,69.1153218314418,children,False
0,18,10,35.47134151366573,68.10116046950262,men,False
2,3,2,35.51925364975519,69.3283764219703,men,False
6,4,1,35.4126937761151,70.2467408225072,men,False
4,7,9,35.91053209596786,68.66791592780753,children,False
6,6,6,34.405642268409046,69.07667453499289,children,False
4,18,4,34.13831937295204,69.7430192654583,men,True
4,4,3,34.54976338023985,68.93914680277804,women,False
5,15,19,34.36767567270098,68.72445120294292,children,False
0,7,17,35.15367381211897,70.4279509111662,women,False
4,13,15,34.74914889657849,69.53496862328835,men,False
6,13,18,35.358128564614574,70.57109178940608,men,False
0,20,3,34.143660002000715,68.45333841594886,men,True
5,14,14,35.0408321808912,69.59869626288084,men,False
6,17,9,34.10285278927321,68.56330563409647,children,False
5,12,19,34.93914844326375,67.73977212196942,men,False
6,21,6,35.37782415469901,68.87577840678965,men,False
